feature,feature_value,shap_value,absolute_shap
aqi_lag_1,75.0,-19.309223,19.309223
pm2_5_24h_mean,22.40833333333333,-11.312198,11.312198
aqi_3h_mean,89.66666666666667,-2.4959095,2.4959095
ozone_lag_3,36.0,-1.77934,1.77934
aqi_change_3h,-36.0,-0.54514855,0.54514855
ozone,5.0,-0.5251228,0.5251228
ozone_lag_1,10.0,-0.37670106,0.37670106
aqi_change_1h,0.0,-0.32537627,0.32537627
ozone_lag_6,140.0,0.19620417,0.19620417
nitrogen_dioxide_lag_24,65.7,-0.10765257,0.10765257
pm10_24h_mean,26.41666666666666,-0.09001573,0.09001573
pm10_lag_6,5.8,0.088580236,0.088580236
nitrogen_dioxide,71.7,-0.08268911,0.08268911
aqi_6h_mean,107.66666666666669,-0.062949024,0.062949024
pm2_5_lag_6,5.2,-0.061765786,0.061765786
aqi_change_6h,-42.0,-0.058762886,0.058762886
ozone_lag_24,18.0,-0.056876794,0.056876794
aqi_lag_3,111.0,-0.05109793,0.05109793
nitrogen_dioxide_lag_1,79.4,-0.04920084,0.04920084
aqi_lag_24,82.0,-0.03990569,0.03990569
pm10_change_24h,-0.3999999999999986,-0.037999097,0.037999097
sulphur_dioxide_24h_mean,4.695833333333334,-0.03701066,0.03701066
aqi_lag_48,92.0,-0.022802593,0.022802593
aqi_lag_12,77.0,-0.022479905,0.022479905
pm10,49.1,0.016776482,0.016776482
nitrogen_dioxide_24h_mean,33.766666666666666,0.01509785,0.01509785
nitrogen_dioxide_lag_6,10.6,0.014656509,0.014656509
aqi_24h_mean,86.79166666666667,0.014281906,0.014281906
wind_speed_10m,5.2,-0.013907152,0.013907152
aqi_lag_72,73.0,-0.01361268,0.01361268
pm2_5_lag_24,46.3,-0.013256219,0.013256219
pressure_msl,1008.8,-0.0124515,0.0124515
carbon_monoxide,1986.0,-0.01212557,0.01212557
relative_humidity_2m,80.0,-0.012084134,0.012084134
carbon_monoxide_lag_6,440.0,0.0117605515,0.0117605515
nitrogen_dioxide_lag_3,82.3,0.01119032,0.01119032
pm2_5,46.4,-0.010334448,0.010334448
carbon_monoxide_lag_24,2549.0,-0.008616846,0.008616846
aqi_12h_mean,93.58333333333331,-0.007550862,0.007550862
pm2_5_change_24h,0.1000000000000014,-0.00734017,0.00734017
aqi_change_24h,-7.0,-0.006599361,0.006599361
sulphur_dioxide_lag_24,8.1,-0.006418889,0.006418889
pm10_6h_mean,32.45,-0.006243385,0.006243385
pm2_5_6h_mean,30.19999999999999,-0.0059097307,0.0059097307
sulphur_dioxide_lag_1,8.2,-0.0054013054,0.0054013054
pm2_5_lag_1,47.7,0.0049185576,0.0049185576
sulphur_dioxide,7.2,-0.0046711653,0.0046711653
pm10_3h_mean,48.00000000000002,0.004645266,0.004645266
pm10_lag_24,49.5,0.0043834127,0.0043834127
ozone_24h_mean,72.875,-0.0042840657,0.0042840657
carbon_monoxide_lag_3,1255.0,-0.0042722747,0.0042722747
pm2_5_3h_mean,44.63333333333329,0.0042147953,0.0042147953
pm10_lag_1,51.0,0.0041314256,0.0041314256
wind_direction_10m,282.0,-0.0029385877,0.0029385877
carbon_monoxide_lag_1,1860.0,0.002719587,0.002719587
temperature_2m,19.6,0.0027016932,0.0027016932
day_of_week,1.0,-0.0024273517,0.0024273517
carbon_monoxide_24h_mean,1081.0833333333333,0.002264427,0.002264427
pm10_change_1h,-1.8999999999999984,0.0022147226,0.0022147226
hour,18.0,-0.001879859,0.001879859
sulphur_dioxide_lag_6,3.8,-0.001623238,0.001623238
aqi_lag_6,117.0,-0.0010858349,0.0010858349
pm2_5_change_1h,-1.3000000000000045,0.0010496365,0.0010496365
sulphur_dioxide_lag_3,8.9,-0.000999612,0.000999612
pm2_5_lag_3,40.4,0.00053643936,0.00053643936
day_of_month,14.0,-0.0004600528,0.0004600528
month,4.0,0.00037172608,0.00037172608
pm10_lag_3,43.5,0.00017820427,0.00017820427
is_weekend,0.0,7.73489e-05,7.73489e-05
precipitation,0.0,-7.695213e-05,7.695213e-05
