feature,mean_abs_shap
aqi_lag_1,15.171707
pm2_5_24h_mean,6.747924
aqi_change_1h,3.4798064
ozone_lag_3,3.1668077
aqi_3h_mean,2.2923362
ozone_lag_6,0.6439054
ozone_lag_1,0.56951505
ozone,0.4126907
pm2_5_change_24h,0.38714844
aqi_change_3h,0.3171705
aqi_change_6h,0.16105254
nitrogen_dioxide_lag_6,0.14373793
pm10_change_24h,0.10918544
nitrogen_dioxide_lag_1,0.105814114
aqi_lag_3,0.07321992
aqi_lag_24,0.06321985
ozone_lag_24,0.057609517
nitrogen_dioxide_lag_3,0.057457563
nitrogen_dioxide,0.056572128
aqi_6h_mean,0.048105165
nitrogen_dioxide_lag_24,0.04631258
carbon_monoxide_lag_24,0.038673587
temperature_2m,0.038559318
aqi_24h_mean,0.03599168
sulphur_dioxide_24h_mean,0.034705285
pm10_24h_mean,0.032393366
pm2_5_lag_6,0.029551439
pm2_5_6h_mean,0.025545826
aqi_lag_12,0.025282903
aqi_lag_48,0.024669852
pm2_5,0.024461363
aqi_12h_mean,0.023947787
pm2_5_change_1h,0.0229064
aqi_change_24h,0.022866508
relative_humidity_2m,0.022497823
carbon_monoxide_lag_6,0.021636793
hour,0.021077335
pressure_msl,0.020186178
carbon_monoxide_lag_3,0.020089583
aqi_lag_72,0.019905321
carbon_monoxide_lag_1,0.018118167
ozone_24h_mean,0.017262008
wind_speed_10m,0.016752051
pm2_5_lag_24,0.016312893
pm10_change_1h,0.015107866
day_of_month,0.0148572475
carbon_monoxide,0.01468029
pm2_5_lag_1,0.014541218
sulphur_dioxide,0.014504517
aqi_lag_6,0.01377916
sulphur_dioxide_lag_3,0.013625613
pm10_lag_1,0.013435124
sulphur_dioxide_lag_1,0.012716198
wind_direction_10m,0.0126689505
nitrogen_dioxide_24h_mean,0.012651931
sulphur_dioxide_lag_6,0.01196144
carbon_monoxide_24h_mean,0.011878686
pm10,0.011261171
pm10_lag_24,0.010012556
pm10_lag_6,0.009912532
sulphur_dioxide_lag_24,0.009871758
pm2_5_lag_3,0.009178768
pm10_6h_mean,0.008633662
pm10_lag_3,0.008537575
pm2_5_3h_mean,0.0073995385
pm10_3h_mean,0.00676546
day_of_week,0.0067538447
month,0.0043424573
is_weekend,0.0007846973
precipitation,0.00071331597
